datetime,open,high,low,close
2020-01-06 12:00:00,7540.20020,7556.33984,7523.049805,7524.20996
2020-01-06 16:00:00,7517.60010,7559.60010,7511.64990,7539.77979
2020-01-06 20:00:00,7539.54004,7783.45996,7535.20996,7757.18994
2020-01-07 00:00:00,7769.20996,7988.89014,7769.20996,7895.20996
2020-01-07 04:00:00,7901.27979,7904.99023,7831.72998,7883.37012
2020-01-07 08:00:00,7882.049805,7958.16992,7856,7899.52979
2020-01-07 12:00:00,7896.74023,7908.93018,7746.069824,7764.10986
2020-01-07 16:00:00,7752.70020,8120.68018,7740,8071.14014
2020-01-07 20:00:00,8060,8186.81006,7957.81006,8158.56982
2020-01-08 00:00:00,8147.089844,8450.54980,8147.089844,8299.74023
2020-01-08 04:00:00,8313.16992,8374.71973,8285.059570,8299.96973
2020-01-08 08:00:00,8296.69043,8364,8265.0097656,8330
2020-01-08 12:00:00,8332.059570,8414.030273,8224.62988,8309.62012
2020-01-08 16:00:00,8322.34961,8322.34961,7965,7965
2020-01-08 20:00:00,7974.56982,8123.45020,7880.79980,8049.77002
2020-01-09 00:00:00,8052.75977,8052.75977,7934.089844,7952.39014
2020-01-09 04:00:00,7952.49023,7973.74023,7901.0097656,7950.29980
2020-01-09 08:00:00,7949.52002,7954.24023,7857.60010,7875.37012
2020-01-09 12:00:00,7875.060059,7943.93018,7872.14990,7906.39990
2020-01-09 16:00:00,7913.74023,7942.25,7781.45996,7909.58008
2020-01-09 20:00:00,7916.91992,7992.22998,7753.72998,7822.22998
2020-01-10 00:00:00,7817.75977,7850.83984,7782.52979,7815.83008
2020-01-10 04:00:00,7815.14990,7815.14990,7721.54980,7751.31982
2020-01-10 08:00:00,7746.66992,7851.72998,7684.74023,7838.14014
2020-01-10 12:00:00,7842.85010,8078.25977,7820,8066.45020
2020-01-10 16:00:00,8067.43994,8132.5,7913.020020,8066.22021
2020-01-10 20:00:00,8048.43018,8197.37012,7986.83984,8194.87988
2020-01-11 00:00:00,8176.39014,8250.26953,8132.45996,8161.080078
2020-01-11 04:00:00,8156.95020,8175.47021,8045.16016,8074.14014
2020-01-11 08:00:00,8068.91016,8128.060059,8011.37012,8045.62988
2020-01-11 12:00:00,8035.12012,8112.47021,8022.93018,8099.069824
2020-01-11 16:00:00,8099.22021,8215.59961,8074.41992,8155.97021
2020-01-11 20:00:00,8153.43994,8284.84961,8006.22998,8020.0097656
2020-01-12 00:00:00,8005.85010,8109.58008,7968.029785,8086.33008
2020-01-12 04:00:00,8092.31982,8152.77979,8071.95020,8097.10010
2020-01-12 08:00:00,8096.79980,8161.41016,8088.37988,8111.56982
2020-01-12 12:00:00,8115.70996,8182.18994,8113.50977,8155
2020-01-12 16:00:00,8152.66992,8189.41992,8075,8129.33008
2020-01-12 20:00:00,8136.43018,8183.52979,8101.060059,8182.41016
2020-01-13 00:00:00,8184.62988,8195.0097656,8088.31006,8107.70020
2020-01-13 04:00:00,8098.91992,8125.37012,8060.020020,8075.60010
2020-01-13 08:00:00,8073.99023,8129.99023,8065,8092.33008
2020-01-13 12:00:00,8076.72998,8109.16992,8065.77979,8085.37988
2020-01-13 16:00:00,8085.39014,8128.37988,8075,8111.56006
2020-01-13 20:00:00,8109.47998,8157.52979,8103.91992,8107.75977
2020-01-14 00:00:00,8112.64014,8469.55957,8112.64014,8465.99023
2020-01-14 04:00:00,8479.62988,8562.58008,8465.26953,8510
2020-01-14 08:00:00,8514.29980,8554.82031,8475.12012,8524.049805
2020-01-14 12:00:00,8526.48047,8750.0097656,8480.040039,8693.17969
2020-01-14 16:00:00,8648.79980,8845.83984,8536.67969,8762.83008
2020-01-14 20:00:00,8752.41992,8876.13965,8672.96973,8840
2020-01-15 00:00:00,8802.63965,8894.95996,8720.15039,8729.80957
