datetime,open,high,low,close
2024-04-13 13:00:00,67514.7,67774.2,67450.54,67552.03
2024-04-13 14:00:00,67552.02,67720,67369.67,67559.56
2024-04-13 15:00:00,67559.57,67926,67437.8,67676
2024-04-13 16:00:00,67675.99,67752.85,67224,67432.37
2024-04-13 17:00:00,67432.38,67437.56,66500,66730.87
2024-04-13 18:00:00,66730.86,67243.47,66444,67156.27
2024-04-13 19:00:00,67156.27,67241.55,63750.01,64788.01
2024-04-13 20:00:00,64788.01,64853.9,60660.57,61816.02
2024-04-13 21:00:00,61816.01,62959.48,61693,62928.01
2024-04-13 22:00:00,62928,64615.38,62118.56,64293.46
2024-04-13 23:00:00,64293.47,65608.09,63651.15,63924.51
2024-04-14 00:00:00,63924.52,64303.87,62888,63672.18
2024-04-14 01:00:00,63672.19,64085.7,63248.7,63743.11
2024-04-14 02:00:00,63743.1,63953.75,63016.23,63084.18
2024-04-14 03:00:00,63084.18,63576.36,62134,63437.55
2024-04-14 04:00:00,63437.55,64176.46,63394,63956.99
2024-04-14 05:00:00,63957,64466,63921,64383.99
2024-04-14 06:00:00,64384,64872.96,64107.09,64649.96
2024-04-14 07:00:00,64649.97,64837.07,64243.65,64464.3
2024-04-14 08:00:00,64464.3,64887.99,64372.04,64530.67
2024-04-14 09:00:00,64530.67,64721.65,63908.31,64134.19
2024-04-14 10:00:00,64134.18,64659.8,64134.18,64457.23
2024-04-14 11:00:00,64457.23,64591.44,63855.45,64166.05
2024-04-14 12:00:00,64166.05,64848.49,64069.79,64525.25
2024-04-14 13:00:00,64525.25,64845.37,64346,64373.42
2024-04-14 14:00:00,64373.43,64400,63437.55,63918.01
2024-04-14 15:00:00,63918.02,64475.37,63900,64180.97
2024-04-14 16:00:00,64180.98,64747.25,64126.03,64412.37
2024-04-14 17:00:00,64412.38,64580.01,62573.66,63868.58
2024-04-14 18:00:00,63868.57,64695.4,63757,64397.67
2024-04-14 19:00:00,64397.67,64474.23,63940.3,64168.62
2024-04-14 20:00:00,64168.62,64350,63699.2,63842.36
2024-04-14 21:00:00,63842.35,63848.49,63326.42,63682.15
2024-04-14 22:00:00,63682.15,65463.56,63641.79,65330.3
2024-04-14 23:00:00,65330.29,65840,65057.01,65661.84
2024-04-15 00:00:00,65661.85,65867.45,65283.11,65485.23
2024-04-15 01:00:00,65485.22,65706.53,65042.98,65275.62
2024-04-15 02:00:00,65275.63,65361.47,64937.01,65129.74
2024-04-15 03:00:00,65129.73,65323.77,65030.88,65138.19
2024-04-15 04:00:00,65138.2,65170.22,64683.01,64906.14
2024-04-15 05:00:00,64906.13,65512.2,64903.6,65466.74
2024-04-15 06:00:00,65466.73,66558.78,65355.45,66463.63
2024-04-15 07:00:00,66463.63,66582.84,66151.41,66263.84
2024-04-15 08:00:00,66263.84,66457.88,66064.48,66287.21
2024-04-15 09:00:00,66287.22,66867.07,66119.12,66578.39
2024-04-15 10:00:00,66578.39,66646.18,66378.03,66465.56
2024-04-15 11:00:00,66465.57,66720.64,65807.25,65860.12
2024-04-15 12:00:00,65860.12,66243.12,65797.73,66028.17
2024-04-15 13:00:00,66028.17,66399,65684.65,65865.77
2024-04-15 14:00:00,65865.78,65977,64183.99,64235.24
2024-04-15 15:00:00,64235.25,64792.88,63810,64568.81
2024-04-15 16:00:00,64568.8,64868.28,63892.88,64148.61
2024-04-15 17:00:00,64148.61,64745.2,63310.99,63908.48
2024-04-15 18:00:00,63908.48,64060.34,63111,63170.87
2024-04-15 19:00:00,63170.86,63632.5,62274.4,63301.11
2024-04-15 20:00:00,63301.11,63633.02,62942.82,63112.96
2024-04-15 21:00:00,63112.96,63474.55,62632,63262.94
2024-04-15 22:00:00,63262.94,63527.31,62700,63459.98
2024-04-15 23:00:00,63459.98,63558,63179.21,63419.99
2024-04-16 00:00:00,63419.99,63719.98,62933.33,63254.74
2024-04-16 01:00:00,63254.74,63899.69,63089,63147.5
2024-04-16 02:00:00,63147.5,63500,62750,63401.55
2024-04-16 03:00:00,63401.56,63554.99,62799.32,62956
2024-04-16 04:00:00,62956,63029.13,61680,62487
2024-04-16 05:00:00,62487,62888,62366.44,62700.41
2024-04-16 06:00:00,62700.41,63254.88,62636.73,63195.12
2024-04-16 07:00:00,63195.13,63800,63104.4,63516.19
2024-04-16 08:00:00,63516.18,63660,63077.02,63288.48
2024-04-16 09:00:00,63288.48,63578.34,63198.67,63242.19
2024-04-16 10:00:00,63242.18,63340.66,61600,62559.23
2024-04-16 11:00:00,62559.22,63269.95,62366.44,63094.77
2024-04-16 12:00:00,63094.76,63422.97,62811.87,63047.89
2024-04-16 13:00:00,63047.88,63342.52,62136.28,62692.41
2024-04-16 14:00:00,62692.41,63100,62020.01,62092.13
2024-04-16 15:00:00,62092.12,62415,61735.42,61762.2
2024-04-16 16:00:00,61762.19,62730.9,61694.02,62730.9
2024-04-16 17:00:00,62730.89,63280.75,62282.01,62490.36
2024-04-16 18:00:00,62490.37,63041.85,62427.24,63003.92
2024-04-16 19:00:00,63003.93,63094.8,62648.26,62721.43
2024-04-16 20:00:00,62721.43,63050,62555,63019.72
2024-04-16 21:00:00,63019.73,64365,62973.83,64007.12
2024-04-16 22:00:00,64007.11,64080,63613.71,63782.57
2024-04-16 23:00:00,63782.56,63876.64,63623.32,63793.39
2024-04-17 00:00:00,63793.4,64239.67,63581.16,64022.59
2024-04-17 01:00:00,64022.6,64048.79,63615,64017.64
2024-04-17 02:00:00,64017.64,64295,63694.28,63840.08
2024-04-17 03:00:00,63840.09,64067.41,63733.92,63842.02
2024-04-17 04:00:00,63842.03,64247.55,63672.26,64101.11
2024-04-17 05:00:00,64101.11,64499,63827.72,63928.01
2024-04-17 06:00:00,63928.01,64000,63735.2,63880.92
2024-04-17 07:00:00,63880.92,63935.56,63181.81,63297.84
2024-04-17 08:00:00,63297.85,63587.88,63150.1,63325.75
2024-04-17 09:00:00,63325.76,63539.99,63227.82,63320.16
2024-04-17 10:00:00,63320.16,63338.72,62752.31,62898.04
2024-04-17 11:00:00,62898.05,63163.11,62541.13,62595.04
2024-04-17 12:00:00,62595.04,62836.12,62061.44,62317.75
2024-04-17 13:00:00,62317.76,62974.88,62128.99,62635.88
2024-04-17 14:00:00,62635.88,62657.55,60741,61279.66
2024-04-17 15:00:00,61279.65,61538.35,59888,60304.95
2024-04-17 16:00:00,60304.95,61100,59678.16,60194.95
2024-04-17 17:00:00,60194.96,61365.98,60119.11,61275.37
2024-04-17 18:00:00,61275.36,61956.42,61159.42,61445.57
2024-04-17 19:00:00,61445.57,61473.94,60727.38,61022.35
2024-04-17 20:00:00,61022.36,61457.58,60777,60846.79
2024-04-17 21:00:00,60846.79,61660.05,60846.78,61300.92
2024-04-17 22:00:00,61300.93,61719.29,61160.34,61689.94
2024-04-17 23:00:00,61689.95,61763.07,61194.93,61277.37
2024-04-18 00:00:00,61277.38,61525.91,60939.92,61514.69
2024-04-18 01:00:00,61514.68,61666,61382.92,61639.26
2024-04-18 02:00:00,61639.26,61920,61457.73,61666.43
2024-04-18 03:00:00,61666.42,62229.9,61666.42,61988
2024-04-18 04:00:00,61987.99,62075.46,61556.47,61640.06
2024-04-18 05:00:00,61640.06,61814.61,60992,61072.02
2024-04-18 06:00:00,61072.02,61320,60803.35,61147.83
2024-04-18 07:00:00,61147.82,61362.32,60941.17,61178.08
2024-04-18 08:00:00,61178.08,61550,60864,61335.99
2024-04-18 09:00:00,61335.99,61710.14,61320.34,61636.5
2024-04-18 10:00:00,61636.51,61925.63,61500,61821.75
2024-04-18 11:00:00,61821.76,63072.27,61821.75,62597.92
2024-04-18 12:00:00,62597.92,62730.18,61580.71,62232.96
2024-04-18 13:00:00,62232.96,62833.34,61896.9,62810
2024-04-18 14:00:00,62810.01,63970.81,62564.91,63816.57
2024-04-18 15:00:00,63816.56,64117.09,63427.47,63498.7
2024-04-18 16:00:00,63498.69,63866.19,63282.48,63536.72
2024-04-18 17:00:00,63536.71,63624.38,62628.6,62782.75
2024-04-18 18:00:00,62782.74,63219,62310.03,63104.68
2024-04-18 19:00:00,63104.67,63576,63095.5,63477.04
2024-04-18 20:00:00,63477.04,63637.5,63272,63490.98
2024-04-18 21:00:00,63490.99,63825.74,63313.02,63473.28
2024-04-18 22:00:00,63473.27,63651.66,63162.77,63499.73
2024-04-18 23:00:00,63499.73,63665.5,63376,63470.08
2024-04-19 00:00:00,63470.09,63470.09,62654.56,62711.08
2024-04-19 01:00:00,62711.08,62776,60618.97,61022
2024-04-19 02:00:00,61021.99,61390,59600.01,61359.58
2024-04-19 03:00:00,61359.57,62108.34,61140,61785.14
2024-04-19 04:00:00,61785.14,62800.07,61766.79,62439.49
2024-04-19 05:00:00,62439.49,62589.12,61739.68,62073.38
2024-04-19 06:00:00,62073.39,64953.85,61809.93,64624.37
2024-04-19 07:00:00,64624.37,65179,64184.61,64547.18
2024-04-19 08:00:00,64547.18,65099,64098.13,64639.02
2024-04-19 09:00:00,64639.02,64943.87,64490,64775.93
